invoice_id,vendor_name,invoice_date,product_description,product_category,unit_price,quantity,total_amount,part_number,specifications,payment_date,purchase_order,department,notes
INV001,TechSupply Corp,2023-01-15,"Dell OptiPlex 7090 Desktop Computer",Computer Hardware,899.99,25,22499.75,D7090-DT-001,"Intel i7-11700, 16GB RAM, 512GB SSD, Windows 11 Pro",2023-02-14,PO-2023-001,IT Department,Bulk discount applied
INV002,Global Electronics Ltd,2023-01-20,"HP ProBook 450 G9 Laptop",Computer Hardware,749.99,50,37499.50,HP-PB450-G9,"Intel i5-1235U, 8GB RAM, 256GB SSD, 15.6 inch display",2023-02-19,PO-2023-002,Engineering,Standard pricing
INV003,ServerMax Solutions,2023-02-01,"Dell PowerEdge R750 Server",Server Hardware,4299.99,10,42999.90,PE-R750-001,"Dual Intel Xeon Silver, 64GB RAM, 2TB SSD, RAID controller",2023-03-03,PO-2023-003,Data Center,Enterprise discount
INV004,NetworkPro Inc,2023-02-10,"Cisco Catalyst 9300 Switch",Network Equipment,3599.99,15,53999.85,C9300-48P,"48-port Gigabit, PoE+, Layer 3 switching, stackable",2023-03-12,PO-2023-004,Network Team,Volume pricing
INV005,Office Essentials,2023-02-15,"Ergonomic Office Chair",Office Furniture,299.99,100,29999.00,EOC-2023-PRO,"Adjustable height, lumbar support, mesh back, 5-year warranty",2023-03-17,PO-2023-005,Facilities,Bulk order discount
INV006,TechSupply Corp,2023-03-01,"Dell OptiPlex 3090 Desktop Computer",Computer Hardware,649.99,40,25999.60,D3090-DT-001,"Intel i5-11500, 8GB RAM, 256GB SSD, Windows 11 Pro",2023-03-31,PO-2023-006,IT Department,Lower spec model
INV007,CloudServices Pro,2023-03-10,"Microsoft Office 365 Business Premium",Software License,22.00,500,11000.00,O365-BP-2023,"Per user per month, includes Teams, SharePoint, Exchange",2023-04-09,PO-2023-007,IT Department,Annual commitment
INV008,Industrial Supply Co,2023-03-15,"Forklift - Toyota 8FGU25",Industrial Equipment,28999.99,5,144999.95,TOYOTA-8FGU25,"2.5 ton capacity, propane powered, side shift, warranty",2023-04-14,PO-2023-008,Warehouse,Fleet purchase
INV009,NetworkPro Inc,2023-04-01,"Cisco Meraki MR46 Access Point",Network Equipment,449.99,30,13499.70,MR46-AP-001,"Wi-Fi 6, cloud managed, indoor, 2.4/5 GHz dual band",2023-05-01,PO-2023-009,Network Team,Standard pricing
INV010,Security Systems Ltd,2023-04-05,"Hikvision IP Camera System",Security Equipment,199.99,25,4999.75,HIK-IP-CAM-4MP,"4MP resolution, night vision, weatherproof, PoE",2023-05-05,PO-2023-010,Security,Surveillance upgrade
INV011,Global Electronics Ltd,2023-04-15,"HP EliteBook 840 G9 Laptop",Computer Hardware,1199.99,30,35999.70,HP-EB840-G9,"Intel i7-1255U, 16GB RAM, 512GB SSD, 14 inch, vPro",2023-05-15,PO-2023-011,Engineering,Premium model
INV012,ServerMax Solutions,2023-05-01,"HPE ProLiant DL380 Gen10 Plus Server",Server Hardware,3899.99,8,31199.92,HPE-DL380-G10P,"Dual Intel Xeon Gold, 128GB RAM, 4TB SSD, redundant PSU",2023-06-01,PO-2023-012,Data Center,Competitive pricing
INV013,TechSupply Corp,2023-05-10,"Dell Precision 3660 Workstation",Computer Hardware,1899.99,15,28499.85,D3660-WS-001,"Intel Xeon W-1350, 32GB ECC RAM, RTX A2000, 1TB NVMe",2023-06-09,PO-2023-013,CAD Team,Workstation upgrade
INV014,PrintSolutions Inc,2023-05-20,"Xerox VersaLink C7000 Color Printer",Office Equipment,2199.99,12,26399.88,XER-C7000-CLR,"35 ppm color, duplex, network, 1200x2400 dpi, large capacity",2023-06-19,PO-2023-014,Print Services,Lease-to-own option
INV015,NetworkPro Inc,2023-06-01,"Fortinet FortiGate 200F Firewall",Security Equipment,1899.99,10,18999.90,FG-200F-SEC,"Threat protection, VPN, 20 Gbps throughput, SD-WAN",2023-07-01,PO-2023-015,Security,Security upgrade
INV016,Office Essentials,2023-06-10,"Standing Desk Converter",Office Furniture,399.99,75,29999.25,SDC-PRO-2023,"Height adjustable, dual monitor support, keyboard tray",2023-07-10,PO-2023-016,Facilities,Ergonomic initiative
INV017,CloudServices Pro,2023-06-15,"Adobe Creative Cloud Enterprise",Software License,79.99,200,15998.00,ACC-ENT-2023,"Per user per month, all creative apps, admin console",2023-07-15,PO-2023-017,Marketing,Creative team licenses
INV018,Industrial Supply Co,2023-07-01,"Caterpillar 2P6000 Forklift",Industrial Equipment,32999.99,3,98999.97,CAT-2P6000,"6 ton capacity, diesel engine, side shift, 3-year warranty",2023-08-01,PO-2023-018,Warehouse,Heavy duty upgrade
INV019,TechSupply Corp,2023-07-10,"Dell UltraSharp U2723QE Monitor",Computer Hardware,549.99,60,32999.40,U2723QE-MON,"27 inch 4K IPS, USB-C hub, height adjustable, color accurate",2023-08-09,PO-2023-019,Design Team,Monitor upgrade
INV020,ServerMax Solutions,2023-07-20,"NetApp FAS2750 Storage System",Storage Hardware,15999.99,4,63999.96,NETAPP-FAS2750,"All-flash array, 24x 960GB SSD, dual controllers, 10GbE",2023-08-19,PO-2023-020,Data Center,Storage expansion
INV021,Global Electronics Ltd,2023-08-01,"Lenovo ThinkPad P1 Gen 5 Mobile Workstation",Computer Hardware,2299.99,20,45999.80,TP-P1-G5,"Intel i9-12900H, 32GB RAM, RTX A3000, 16 inch OLED",2023-09-01,PO-2023-021,Engineering,Mobile workstation
INV022,NetworkPro Inc,2023-08-10,"Aruba 6300M Switch Stack",Network Equipment,8999.99,6,53999.94,ARUBA-6300M-STK,"48-port 10GbE, stackable, Layer 3, PoE++, redundant PSU",2023-09-09,PO-2023-022,Network Team,Core network upgrade
INV023,Security Systems Ltd,2023-08-15,"Axis P3245-LV Network Camera",Security Equipment,699.99,20,13999.80,AXIS-P3245-LV,"5MP varifocal dome, WDR, vandal resistant, analytics ready",2023-09-14,PO-2023-023,Security,Perimeter security
INV024,PrintSolutions Inc,2023-09-01,"HP DesignJet T1700 Large Format Printer",Office Equipment,3299.99,6,19799.94,HP-T1700-LF,"44 inch wide format, PostScript, network, roll and sheet feed",2023-10-01,PO-2023-024,Engineering,CAD plotting
INV025,Office Essentials,2023-09-10,"Conference Room Table - Executive",Office Furniture,1299.99,20,25999.80,CRT-EXEC-2023,"12-person capacity, solid wood, cable management, premium finish",2023-10-10,PO-2023-025,Facilities,Meeting room upgrade
INV026,TechSupply Corp,2023-09-15,"Dell Latitude 5430 Business Laptop",Computer Hardware,949.99,45,42749.55,LAT-5430-BUS,"Intel i7-1255U, 16GB RAM, 512GB SSD, 14 inch, TPM 2.0",2023-10-15,PO-2023-026,Sales Team,Mobile workforce
INV027,CloudServices Pro,2023-10-01,"Salesforce Enterprise Edition",Software License,165.00,300,49500.00,SFDC-ENT-2023,"Per user per month, unlimited customization, API access",2023-11-01,PO-2023-027,Sales Team,CRM platform
INV028,Industrial Supply Co,2023-10-10,"Komatsu PC210LC-11 Excavator",Industrial Equipment,189999.99,2,379999.98,KOMATSU-PC210,"21 ton hydraulic excavator, Tier 4 engine, GPS ready",2023-11-09,PO-2023-028,Construction,Heavy equipment
INV029,ServerMax Solutions,2023-10-15,"VMware vSphere Enterprise Plus",Software License,4299.99,100,429999.00,VMWARE-VSPHERE-EP,"Per CPU license, advanced features, distributed resource scheduler",2023-11-14,PO-2023-029,Data Center,Virtualization platform
INV030,NetworkPro Inc,2023-11-01,"Palo Alto PA-3260 Next-Gen Firewall",Security Equipment,24999.99,4,99999.96,PA-3260-NGFW,"40 Gbps throughput, threat prevention, URL filtering, GlobalProtect",2023-12-01,PO-2023-030,Security,Next-gen security
INV031,Global Electronics Ltd,2023-11-10,"Surface Studio 2+ All-in-One",Computer Hardware,4299.99,12,51599.88,MSFT-SS2PLUS,"28 inch 4K+ touchscreen, Intel i7-11370H, RTX 3060, Surface Pen",2023-12-10,PO-2023-031,Design Team,Creative workstation
INV032,TechSupply Corp,2023-11-15,"Dell OptiPlex 7000 Micro Desktop",Computer Hardware,699.99,80,55999.20,D7000-MICRO,"Intel i5-12500T, 8GB RAM, 256GB SSD, ultra-small form factor",2023-12-15,PO-2023-032,General Office,Space-saving PCs
INV033,Security Systems Ltd,2023-12-01,"Genetec Security Center",Software License,899.99,50,44999.50,GENETEC-SC-2023,"Per camera license, unified security platform, video analytics",2023-12-31,PO-2023-033,Security,Security management
INV034,PrintSolutions Inc,2023-12-05,"Canon imageRUNNER ADVANCE DX C5870i",Office Equipment,8999.99,8,71999.92,CANON-DX-C5870i,"70 ppm color MFP, scan to cloud, mobile print, finishing options",2023-12-31,PO-2023-034,Print Services,High-volume printing
INV035,Office Essentials,2023-12-10,"Modular Workstation System",Office Furniture,899.99,150,134998.50,MWS-2023-PRO,"Height-adjustable desk, privacy screens, storage, power/data",2023-12-31,PO-2023-035,Facilities,Open office redesign
INV036,CloudServices Pro,2023-12-15,"Microsoft Azure Reserved Instances",Cloud Services,2500.00,12,30000.00,AZURE-RI-2023,"1-year commitment, Standard D4s v3, 50% cost savings",2023-12-31,PO-2023-036,IT Department,Cloud cost optimization
INV037,TechSupply Corp,2024-01-05,"Dell PowerEdge R650 Server",Server Hardware,3799.99,12,45599.88,PE-R650-002,"Dual Intel Xeon Silver, 64GB RAM, 1TB NVMe, iDRAC9",2024-02-04,PO-2024-001,Data Center,Server refresh
INV038,NetworkPro Inc,2024-01-10,"Cisco Catalyst 9200 Switch",Network Equipment,2199.99,25,54999.75,C9200-48P,"48-port Gigabit, Layer 3, StackWise, energy efficient",2024-02-09,PO-2024-002,Network Team,Access layer upgrade
INV039,Global Electronics Ltd,2024-01-15,"HP Z4 G5 Workstation",Computer Hardware,2699.99,18,48599.82,HP-Z4-G5,"Intel Xeon W-2435, 32GB ECC, RTX A4000, 1TB NVMe",2024-02-14,PO-2024-003,CAD Team,Engineering workstation
INV040,ServerMax Solutions,2024-01-20,"Pure Storage FlashArray//C40",Storage Hardware,89999.99,2,179999.98,PURE-FA-C40,"All-flash storage, 184TB effective, NVMe, data reduction",2024-02-19,PO-2024-004,Data Center,High-performance storage
